comparison,metric,estimand,n,mean,ci_low,bootstrap_median,ci_high
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,ndcg_at_10,patient_equal,780,-0.15377656776367843,-0.1666374796182875,-0.15383007042236757,-0.1411363331627683
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,ndcg_at_10,lineage_equal,19,-0.15987063710781418,-0.19364436606048924,-0.1593530118061824,-0.12819004004132148
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,selective_precision_at_10,patient_equal,780,-0.14871794871794872,-0.1625,-0.14858974358974358,-0.13506410256410256
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,selective_precision_at_10,lineage_equal,19,-0.15344277696976275,-0.18448884611062846,-0.1530298863480442,-0.12341482675670853
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,top10_overlap,patient_equal,780,-0.0982051282051282,-0.10814102564102564,-0.0982051282051282,-0.0883974358974359
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,top10_overlap,lineage_equal,19,-0.10300596259059801,-0.1271331867217561,-0.10276005273757544,-0.08012587065991038
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,spearman,patient_equal,780,-0.09859466164187125,-0.10772063648150888,-0.09857661590026781,-0.08946090267779468
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,spearman,lineage_equal,19,-0.09907566153087412,-0.11605435014535954,-0.09914753018197295,-0.08084396664017127
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,regret,patient_equal,780,-0.19251782880455182,-0.20859683288418246,-0.19239182160325338,-0.17664518548448407
exp_deepdep_absolute_secondary_vs_expression_pcr_ridge,regret,lineage_equal,19,-0.19858225283977884,-0.23846786081735735,-0.19790060347936467,-0.1609258071323079
exp_deepdep_residual_primary_vs_expression_pcr_ridge,ndcg_at_10,patient_equal,780,-0.18083874023802543,-0.1936627275524753,-0.18087521096199488,-0.16816415326399672
exp_deepdep_residual_primary_vs_expression_pcr_ridge,ndcg_at_10,lineage_equal,19,-0.18832483028349153,-0.22066137372466185,-0.1881463148432988,-0.15671760722397812
exp_deepdep_residual_primary_vs_expression_pcr_ridge,selective_precision_at_10,patient_equal,780,-0.1662820512820513,-0.18012820512820513,-0.16628205128205126,-0.15269230769230768
exp_deepdep_residual_primary_vs_expression_pcr_ridge,selective_precision_at_10,lineage_equal,19,-0.17358588150143187,-0.20592467260476816,-0.1732983743412972,-0.14209359282151782
exp_deepdep_residual_primary_vs_expression_pcr_ridge,top10_overlap,patient_equal,780,-0.10336538461538461,-0.11358974358974358,-0.10336538461538461,-0.09326923076923077
exp_deepdep_residual_primary_vs_expression_pcr_ridge,top10_overlap,lineage_equal,19,-0.10958970768850919,-0.13441029825728112,-0.10926864165262598,-0.08580175366874582
exp_deepdep_residual_primary_vs_expression_pcr_ridge,spearman,patient_equal,780,-0.1265306040054268,-0.13658199575390625,-0.12652451588955194,-0.11662993238663254
exp_deepdep_residual_primary_vs_expression_pcr_ridge,spearman,lineage_equal,19,-0.12838524140891003,-0.14952898251754582,-0.12849579813915413,-0.10722943155833949
exp_deepdep_residual_primary_vs_expression_pcr_ridge,regret,patient_equal,780,-0.2323460300436304,-0.24875332281051696,-0.23232352626706657,-0.2160072973050408
exp_deepdep_residual_primary_vs_expression_pcr_ridge,regret,lineage_equal,19,-0.24345816248722768,-0.2824639803096521,-0.2430870104053473,-0.20540969720519442
