heldout_lineage,method,ndcg_at_10,selective_precision_at_10,top10_overlap,spearman,regret
Biliary Tract,exp_deepdep_absolute_secondary,0.3441318534915491,0.31923076923076926,0.1076923076923077,0.18675754514160817,0.7772907820550018
Biliary Tract,exp_deepdep_residual_primary,0.2626161413425161,0.23461538461538461,0.07692307692307693,0.09618947842358534,0.8760000725017577
Biliary Tract,expression_pcr_ridge,0.5146728423855843,0.4846153846153846,0.21538461538461537,0.321467898712179,0.523137416449392
Bladder/Urinary Tract,exp_deepdep_absolute_secondary,0.38080091979228514,0.29310344827586204,0.14482758620689656,0.2227912074234217,0.5907089402260287
Bladder/Urinary Tract,exp_deepdep_residual_primary,0.3230603902486689,0.2413793103448276,0.11724137931034483,0.14947239078802912,0.6508583378063574
Bladder/Urinary Tract,expression_pcr_ridge,0.444916273289205,0.3448275862068966,0.18275862068965518,0.30277929990885766,0.5098378210413637
Bone,exp_deepdep_absolute_secondary,0.3181861863462942,0.1925925925925926,0.08148148148148149,0.22964566451077978,0.7049525145852428
Bone,exp_deepdep_residual_primary,0.26670467545013593,0.18518518518518517,0.0851851851851852,0.20319412575069631,0.7901380740295729
Bone,expression_pcr_ridge,0.3625160915977837,0.24444444444444444,0.11851851851851852,0.34954799992249125,0.6207529608696501
Bowel,exp_deepdep_absolute_secondary,0.3352706146637856,0.28800000000000003,0.12200000000000001,0.16182249416279626,0.7918538503068221
Bowel,exp_deepdep_residual_primary,0.22798556816727966,0.18,0.09200000000000001,0.15112548795136568,0.929581590619886
Bowel,expression_pcr_ridge,0.49529981808880036,0.46399999999999997,0.254,0.2733480938443459,0.5930561716466122
Breast,exp_deepdep_absolute_secondary,0.2514778713645224,0.19117647058823528,0.07352941176470588,0.1595739092607047,0.9185720905642589
Breast,exp_deepdep_residual_primary,0.25375749796750685,0.19411764705882353,0.07058823529411765,0.12547523997544563,0.9273368521389881
Breast,expression_pcr_ridge,0.43039294218293717,0.37941176470588234,0.19705882352941176,0.20466444633747505,0.6726733380833881
CNS/Brain,exp_deepdep_absolute_secondary,0.33269972574610296,0.24558823529411763,0.12352941176470589,0.3102361698373909,0.693821003078129
CNS/Brain,exp_deepdep_residual_primary,0.34292306968180447,0.25441176470588234,0.13970588235294118,0.2747641179478567,0.6659410517015509
CNS/Brain,expression_pcr_ridge,0.4170329338498584,0.3264705882352941,0.1823529411764706,0.3525958815410223,0.567295716846389
Esophagus/Stomach,exp_deepdep_absolute_secondary,0.2896932238554182,0.264,0.10800000000000001,0.17225264146393052,0.7765068711820625
Esophagus/Stomach,exp_deepdep_residual_primary,0.2912732679669263,0.254,0.11,0.15727212511780125,0.7950570483547756
Esophagus/Stomach,expression_pcr_ridge,0.4555976117172406,0.418,0.22,0.3155020799800141,0.5703742490218031
Head and Neck,exp_deepdep_absolute_secondary,0.3683592010384832,0.2767857142857143,0.1357142857142857,0.24625897549940645,0.6331056545393784
Head and Neck,exp_deepdep_residual_primary,0.2732111755597835,0.2267857142857143,0.1,0.20393842127555564,0.7202169363928757
Head and Neck,expression_pcr_ridge,0.4564631209095502,0.37678571428571433,0.17857142857142858,0.3428764362685613,0.528837029812486
Kidney,exp_deepdep_absolute_secondary,0.3070054428267765,0.22608695652173913,0.0782608695652174,0.2917146144196252,0.8154235620986325
Kidney,exp_deepdep_residual_primary,0.32383941941682576,0.2652173913043478,0.09565217391304348,0.25307470711977587,0.8105626209248098
Kidney,expression_pcr_ridge,0.566114119264634,0.5,0.2782608695652174,0.34609802233752346,0.5113205777443939
Liver,exp_deepdep_absolute_secondary,0.290028710197526,0.2863636363636364,0.10454545454545454,0.21254128531038144,0.814618372068065
Liver,exp_deepdep_residual_primary,0.3552207528179304,0.3318181818181818,0.15454545454545457,0.14442149167160456,0.7773687568925568
