ModelID,model,topk_overlap,ndcg,dependent_precision,mean_selected_gene_effect,oracle_mean_gene_effect,regret,renal_cell_carcinoma,clear_cell_renal_cell_carcinoma,OncotreeSubtype
ACH-000096,global_mean,0.4,0.6667438617269047,0.3,-0.41697112700000005,-0.6502321,0.23326097299999993,False,False,Rhabdoid Cancer
ACH-000159,global_mean,0.4,0.787767650405173,0.2,-0.4868444,-0.6351145,0.14827010000000002,True,True,Renal Clear Cell Carcinoma
ACH-000189,global_mean,0.5,0.7056521648575776,0.6,-0.43469818999999993,-0.6278629,0.19316471000000007,True,False,Renal Cell Carcinoma
ACH-000250,global_mean,0.4,0.7608342981940647,0.4,-0.49981679999999995,-0.6660372,0.16622040000000005,True,True,Renal Clear Cell Carcinoma
ACH-000262,global_mean,0.3,0.4801841010729822,0.2,-0.28620392000000006,-0.5551928,0.26898888,True,True,Renal Clear Cell Carcinoma
ACH-000272,global_mean,0.3,0.5535934055609827,0.2,-0.32235800000000003,-0.5342117000000001,0.21185370000000003,True,True,Renal Clear Cell Carcinoma
ACH-000313,global_mean,0.3,0.4791757752100775,0.3,-0.41326930000000006,-0.7498576,0.33658829999999995,True,True,Renal Clear Cell Carcinoma
ACH-000385,global_mean,0.3,0.641479771318951,0.2,-0.3981981,-0.5212934,0.12309530000000002,True,False,Renal Cell Carcinoma
ACH-000459,global_mean,0.2,0.35020654681495256,0.3,-0.40290247,-0.8718335999999999,0.46893112999999986,True,True,Renal Clear Cell Carcinoma
ACH-000484,global_mean,0.5,0.5860985621694039,0.4,-0.48069954,-0.7109118000000001,0.2302122600000001,True,False,Renal Cell Carcinoma
ACH-000495,global_mean,0.4,0.7319260248186016,0.3,-0.45383435,-0.6473182,0.19348384999999996,True,False,Renal Cell Carcinoma
ACH-000533,global_mean,0.3,0.5654333853520382,0.3,-0.43545685,-0.826357,0.39090015,False,False,Rhabdoid Cancer
ACH-000649,global_mean,0.4,0.6029884345669861,0.3,-0.4847842,-0.650493,0.1657088,True,True,Renal Clear Cell Carcinoma
ACH-000684,global_mean,0.3,0.6969041075905948,0.3,-0.37707946,-0.5640476000000001,0.18696814000000012,True,True,Renal Clear Cell Carcinoma
ACH-000709,global_mean,0.2,0.502676534187586,0.0,-0.24312079567999997,-0.5092555000000001,0.2661347043200001,True,True,Renal Clear Cell Carcinoma
ACH-000907,global_mean,0.2,0.4112287849038056,0.2,-0.22589079,-0.5969775,0.37108671000000004,True,True,Renal Clear Cell Carcinoma
ACH-001163,global_mean,0.4,0.7242481284053048,0.3,-0.4422134,-0.5898921999999999,0.1476787999999999,True,False,Renal Medullary Carcinoma
ACH-001194,global_mean,0.7,0.7430962257258278,0.4,-0.6826543,-0.7910143999999999,0.10836009999999985,True,False,Renal Cell Carcinoma
ACH-001310,global_mean,0.4,0.693474236138956,0.4,-0.45467689999999994,-0.6643793,0.20970240000000007,False,False,Immortalized Embyonic Kidney Cells
ACH-001398,global_mean,0.5,0.533312845722824,0.4,-0.4453684809999999,-0.7280915,0.2827230190000001,True,False,Renal Cell Carcinoma
ACH-001532,global_mean,0.3,0.6644669824870351,0.3,-0.49732442,-0.853918,0.35659357999999997,False,False,Rhabdoid Cancer
ACH-001687,global_mean,0.4,0.6389413025277803,0.3,-0.44982442999999994,-0.6998068999999999,0.24998246999999996,True,True,Renal Clear Cell Carcinoma
ACH-002528,global_mean,0.5,0.7523159029575182,0.5,-0.5216953,-0.670551,0.14885570000000004,True,True,Renal Clear Cell Carcinoma
