seed,gene_a,gene_b,nonadditivity
20260911,ARID1A,TP53,-0.00012206920493924162
20260911,LAMC2,THBS1,-0.00044926551151585454
20260911,SMARCA4,TP53,-5.045029137344063e-05
20260911,ATM,TP53,-7.048032308657089e-05
20260911,COL6A3,THBS1,-0.00023852558114231294
20260911,AJUBA,LATS2,-0.00040584434058815906
20260911,ATM,SMARCA4,-7.743409391007083e-05
20260911,DSP,DST,4.227739440081579e-05
20260912,LAMA4,TP53,-2.7425465379018066e-05
20260912,AJUBA,LATS2,-0.0004054298730440124
20260912,ATM,LAMA4,3.580420308367527e-05
20260912,ATM,TP53,-4.856626069936736e-05
20260913,CTNNA1,DSP,-7.625221944163106e-05
20260913,COL6A3,THBS1,-0.00025778598802286227
20260913,AJUBA,LATS2,-0.00040661354640763626
20260913,ATM,SMARCA4,-7.557392514689399e-05
20260913,LAMA4,TP53,-4.4890022971979474e-05
20260913,LAMA4,SMARCA4,-6.603397001295154e-05
20260914,FBN1,LAMC2,2.4514112810054703e-05
20260914,DSP,DST,3.995523693938602e-06
20260914,LAMC2,THBS1,-0.00042040256635949864
20260914,ARID1A,SMARCA4,-0.00042936867392223373
20260915,COL6A3,THBS1,-0.0002610744037968532
20260915,DSP,DST,2.9106783893418048e-05
20260915,LAMC2,THBS1,-0.0004683976618093306
20260915,ATM,LAMA4,4.1967332356113727e-05
20260915,ARID1A,TP53,-0.00012775875707677666
20260915,ATM,SMARCA4,-8.212031229137438e-05
20260915,ARID1A,SMARCA4,-0.000436962371111052
20260916,FBN1,LAMC2,3.51892816040692e-05
20260916,AJUBA,LATS2,-0.000425209671792937
20260916,FBN1,THBS1,-0.0006469154414869478
20260916,MECOM,TP53,-7.500373373892349e-05
20260916,LAMA4,SMARCA4,-6.718920935571315e-05
20260916,DSP,DST,9.702459011643036e-06
20260916,DSC3,DSP,-0.0003883912266016726
20260916,MECOM,SPEN,-1.7824432435825156e-05
20260916,ATM,TP53,-8.899671078139255e-05
20260916,SMARCA4,TP53,-7.107622809709741e-05
