seed,mode,method,scope,model_n,event_genes,connectors,total_nodes,cv_delta_r2,cv_objective,holdout_r2,holdout_delta_r2,holdout_delta_r2_excluding_selected_targets,bootstrap_lower,bootstrap_upper,event_gene_count,random_control_n,random_median,random_q05,random_q95,random_control_percentile,random_empirical_upper_p
20260911,unrestricted,frequency_ppi,kidney_lineage,24,DSP|DST,COL17A1,3,0.0019065884906218056,0.0011565884906218056,-0.02829820056231447,0.0031413369159967175,0.0031936494791557912,0.0011509010709708646,0.005152443633372601,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
20260911,unrestricted,frequency_ppi,rcc,20,DSP|DST,COL17A1,3,0.0019065884906218056,0.0011565884906218056,-0.03581569981035981,0.003628427884621699,0.0036889729966278484,0.0013735437365287634,0.006010121878335666,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
20260911,unrestricted,frequency_ppi,ccrcc,12,DSP|DST,COL17A1,3,0.0019065884906218056,0.0011565884906218056,-0.03577553630839092,0.004515953368473102,0.004629165280965797,0.0004727558662933313,0.008307739540452016,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,0.7,0.30845771144278605
20260911,unrestricted,static_cv_ppi,kidney_lineage,24,ATM|LAMA4|SMARCA4|TP53,,4,0.0050731604804977294,0.004073160480497729,-0.01972439388361691,0.011715143594694277,0.007563239613874062,0.005737135907379018,0.017829096257196458,4,59,0.010834182947170312,0.0011239116885176648,0.01603628606822618,,
20260911,unrestricted,static_cv_ppi,rcc,20,ATM|LAMA4|SMARCA4|TP53,,4,0.0050731604804977294,0.004073160480497729,-0.02818127013489602,0.011262857560085493,0.006742445786574569,0.004184069703628779,0.017884403727720693,4,59,0.010834182947170312,0.0011239116885176648,0.01603628606822618,,
20260911,unrestricted,static_cv_ppi,ccrcc,12,ATM|LAMA4|SMARCA4|TP53,,4,0.0050731604804977294,0.004073160480497729,-0.030794994706005774,0.009496494970858249,0.0062333890171242246,0.0013209485583171386,0.018762073279061136,4,59,0.010834182947170312,0.0011239116885176648,0.01603628606822618,0.3728813559322034,0.65
20260911,unrestricted,greedy_ppi,kidney_lineage,24,ANKRD11|ATM|LAMA4|SMARCA4|TP53,HDAC3,6,0.005586798531983398,0.004086798531983397,-0.02005013692854729,0.011389400549763895,0.0072017982309309225,0.005574822453865386,0.017322332355119947,5,200,0.00995182363122804,0.002033398184696622,0.01565149717666408,,
20260911,unrestricted,greedy_ppi,rcc,20,ANKRD11|ATM|LAMA4|SMARCA4|TP53,HDAC3,6,0.005586798531983398,0.004086798531983397,-0.0283207924680573,0.011123335226924214,0.006496435282096424,0.00405510924275178,0.01811789674708899,5,200,0.00995182363122804,0.002033398184696622,0.01565149717666408,,
20260911,unrestricted,greedy_ppi,ccrcc,12,ANKRD11|ATM|LAMA4|SMARCA4|TP53,HDAC3,6,0.005586798531983398,0.004086798531983397,-0.03180422979674735,0.008487259880116671,0.004998240563459655,0.001305448185983763,0.01632934144049789,5,200,0.00995182363122804,0.002033398184696622,0.01565149717666408,0.34,0.6616915422885572
20260911,unrestricted,beam_ppi,kidney_lineage,24,ANKRD11|ATM|LAMA4|SMARCA4|TP53,HDAC3,6,0.005586798531983398,0.004086798531983397,-0.02005013692854729,0.011389400549763895,0.0072017982309309225,0.0053171473191416406,0.0173162545791358,5,200,0.00995182363122804,0.002033398184696622,0.01565149717666408,,
