mode,method,Gene,seed_n,event_selected_count,event_selected_frequency,module_node_count,module_node_frequency
tln1_seeded,beam_ppi,TLN1,20,20,1.0,20,1.0
tln1_seeded,beam_ppi,AJUBA,20,20,1.0,20,1.0
tln1_seeded,beam_ppi,CTNNA1,20,13,0.65,13,0.65
tln1_seeded,beam_ppi,DSP,20,2,0.1,2,0.1
tln1_seeded,beam_ppi,DSC3,20,11,0.55,11,0.55
tln1_seeded,beam_ppi,TP53,20,18,0.9,18,0.9
tln1_seeded,frequency_ppi,TLN1,20,20,1.0,20,1.0
tln1_seeded,frequency_ppi,AJUBA,20,0,0.0,0,0.0
tln1_seeded,frequency_ppi,CTNNA1,20,0,0.0,0,0.0
tln1_seeded,frequency_ppi,DSP,20,0,0.0,0,0.0
tln1_seeded,frequency_ppi,DSC3,20,0,0.0,0,0.0
tln1_seeded,frequency_ppi,TP53,20,0,0.0,0,0.0
tln1_seeded,greedy_ppi,TLN1,20,20,1.0,20,1.0
tln1_seeded,greedy_ppi,AJUBA,20,14,0.7,14,0.7
tln1_seeded,greedy_ppi,CTNNA1,20,14,0.7,14,0.7
tln1_seeded,greedy_ppi,DSP,20,5,0.25,5,0.25
tln1_seeded,greedy_ppi,DSC3,20,11,0.55,11,0.55
tln1_seeded,greedy_ppi,TP53,20,8,0.4,8,0.4
tln1_seeded,static_cv_ppi,TLN1,20,20,1.0,20,1.0
tln1_seeded,static_cv_ppi,AJUBA,20,20,1.0,20,1.0
tln1_seeded,static_cv_ppi,CTNNA1,20,20,1.0,20,1.0
tln1_seeded,static_cv_ppi,DSP,20,10,0.5,10,0.5
tln1_seeded,static_cv_ppi,DSC3,20,14,0.7,14,0.7
tln1_seeded,static_cv_ppi,TP53,20,7,0.35,7,0.35
unrestricted,beam_ppi,TLN1,20,0,0.0,0,0.0
unrestricted,beam_ppi,AJUBA,20,0,0.0,0,0.0
unrestricted,beam_ppi,CTNNA1,20,0,0.0,0,0.0
unrestricted,beam_ppi,DSP,20,0,0.0,0,0.0
unrestricted,beam_ppi,DSC3,20,1,0.05,1,0.05
unrestricted,beam_ppi,TP53,20,15,0.75,15,0.75
unrestricted,frequency_ppi,TLN1,20,0,0.0,0,0.0
unrestricted,frequency_ppi,AJUBA,20,0,0.0,0,0.0
unrestricted,frequency_ppi,CTNNA1,20,0,0.0,0,0.0
unrestricted,frequency_ppi,DSP,20,20,1.0,20,1.0
unrestricted,frequency_ppi,DSC3,20,0,0.0,0,0.0
unrestricted,frequency_ppi,TP53,20,0,0.0,0,0.0
unrestricted,greedy_ppi,TLN1,20,0,0.0,0,0.0
unrestricted,greedy_ppi,AJUBA,20,0,0.0,0,0.0
unrestricted,greedy_ppi,CTNNA1,20,0,0.0,0,0.0
unrestricted,greedy_ppi,DSP,20,0,0.0,0,0.0
unrestricted,greedy_ppi,DSC3,20,0,0.0,0,0.0
unrestricted,greedy_ppi,TP53,20,11,0.55,11,0.55
unrestricted,static_cv_ppi,TLN1,20,0,0.0,0,0.0
unrestricted,static_cv_ppi,AJUBA,20,0,0.0,0,0.0
unrestricted,static_cv_ppi,CTNNA1,20,0,0.0,0,0.0
unrestricted,static_cv_ppi,DSP,20,0,0.0,0,0.0
unrestricted,static_cv_ppi,DSC3,20,0,0.0,0,0.0
unrestricted,static_cv_ppi,TP53,20,11,0.55,11,0.55
