Gene,TCGA_train_mutation_count,TCGA_train_mutation_frequency,TCGA_expression_context_adjusted_smd,TCGA_methylation_context_adjusted_smd,TCGA_copy_number_context_adjusted_smd,TCGA_multiomics_support_count_abs_smd_ge_0_5,DepMap_all_modalities,dependency_available,dependency_observed_fraction,mutation_available,mutation_observed_fraction,expression_available,expression_observed_fraction,copy_number_available,copy_number_observed_fraction,DepMap_common_essential,pan_cancer_dependency_n,pan_cancer_dependency_median,pan_cancer_dependent_fraction_le_m0_5,rcc_dependency_n,rcc_dependency_median,rcc_dependent_fraction_le_m0_5,ccrcc_dependency_n,ccrcc_dependency_median,ccrcc_dependent_fraction_le_m0_5,non_kidney_dependency_n,non_kidney_dependency_median,non_kidney_dependent_fraction_le_m0_5,ccrcc_selectivity_delta_median,rcc_vhl_damaging_dependency_n,rcc_vhl_damaging_dependency_median,rcc_vhl_damaging_dependent_fraction_le_m0_5,rcc_vhl_wt_dependency_n,rcc_vhl_wt_dependency_median,rcc_vhl_wt_dependent_fraction_le_m0_5,rcc_vhl_dependency_delta_median,rcc_pbrm1_damaging_dependency_n,rcc_pbrm1_damaging_dependency_median,rcc_pbrm1_damaging_dependent_fraction_le_m0_5,rcc_pbrm1_wt_dependency_n,rcc_pbrm1_wt_dependency_median,rcc_pbrm1_wt_dependent_fraction_le_m0_5,rcc_pbrm1_dependency_delta_median,context_delta_r2_pan_cancer_alpha_10000,context_delta_r2_pan_cancer_alpha_100000,context_delta_r2_rcc_alpha_10000,context_delta_r2_rcc_alpha_100000,context_delta_r2_ccrcc_alpha_10000,context_delta_r2_ccrcc_alpha_100000,positive_context_metric_count,minimum_context_delta_r2,mean_context_delta_r2,stable_positive_all_scopes,ccrcc_functional_dependency,ccrcc_selective_dependency,tcga_multiomics_supported,priority_tier
TLN1,3,0.0192307692307692,-0.5881969007462822,0.5128335369238809,-0.9221514154673588,3,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.3436716658782065,0.3171007927519819,20,-0.57345006988359,0.55,12,-0.57345006988359,0.5833333333333334,859,-0.3414952327925174,0.3119906868451688,-0.2319548370910726,15,-0.5845860083022782,0.6,5,-0.3310810347278689,0.4,-0.2535049735744094,7,-0.7000505999659381,0.7142857142857143,13,-0.3679061775929497,0.4615384615384615,-0.3321444223729884,0.0013743993625220596,0.0002864956531465759,0.04047829939671026,0.0076229545234005255,0.03926848467320531,0.007107758172277677,6,0.0002864956531465759,0.016023065296877068,True,True,True,True,A
TP53,6,0.0384615384615384,-0.1407374216679245,-0.138493489795394,-1.2928931961505965,1,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,0.2148030075402691,0.0033975084937712,20,0.6601743010179351,0.0,12,0.6601743010179351,0.0,859,0.2113674054162729,0.0034924330616996,0.4488068956016621,15,0.6287972776506561,0.0,5,1.232415109456029,0.0,-0.6036178318053729,7,0.3836958538072706,0.0,13,1.0356807342973675,0.0,-0.651984880490097,0.006820933903392798,0.0012919362741974586,0.08417888208723759,0.015529219312924796,0.0987302705523059,0.018683395359742106,6,0.0012919362741974586,0.03753910624830011,True,False,False,True,exploratory
TP53BP1,3,0.0192307692307692,-0.1217854350463839,0.2958636412974687,0.0808184525356254,0,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.0890670793622178,0.014722536806342,20,0.1155931616287033,0.0,12,0.0945275814294134,0.0,859,-0.0931542578742726,0.0151338766006984,0.187681839303686,15,0.1077845746225183,0.0,5,0.1234017486348884,0.0,-0.0156171740123701,7,0.1077845746225183,0.0,13,0.1234017486348884,0.0,-0.0156171740123701,0.00653417010697426,0.0012515112925123946,0.09950913955036868,0.01861106352390747,0.1707591877419456,0.03285264046179103,6,0.0012515112925123946,0.054919618779583235,True,False,False,False,exploratory
ATF7IP,3,0.0192307692307692,-0.0437557043853893,0.6978186022371369,-0.4900924059064403,1,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.0502903466717571,0.0226500566251415,20,0.0662244859320445,0.0,12,0.0692115544455837,0.0,859,-0.0538479447024506,0.0232828870779976,0.1230594991480343,15,0.0808772028439025,0.0,5,0.0575459060472649,0.0,0.0233312967966375,7,0.0558364936315447,0.0,13,0.0808772028439025,0.0,-0.0250407092123578,0.005271124596796082,0.0009126299523101136,0.11175000850152239,0.019263883200229405,0.14055042296860656,0.02429679643226054,6,0.0009126299523101136,0.050340810941954174,True,False,False,True,exploratory
GPATCH8,3,0.0192307692307692,-0.298034671102717,0.2417815119737377,0.297178144059472,0,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.1904925571801931,0.0339750849377123,20,-0.0535266043834303,0.0,12,-0.1151332481656842,0.0,859,-0.193823277744335,0.0349243306169965,0.0786900295786507,15,-0.0537589581868022,0.0,5,-0.0250197341055566,0.0,-0.0287392240812456,7,-0.0532942505800585,0.0,13,-0.1086932740372832,0.0,0.0553990234572246,0.004098201033527898,0.0008154941449596198,0.09428327434200233,0.01714307744724528,0.1348136884853621,0.026272749257260364,6,0.0008154941449596198,0.04623774745172626,True,False,False,False,exploratory
ZNF638,3,0.0192307692307692,1.3328285101477002,-0.0412078719017323,1.6413365503698227,2,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.1971453978348808,0.07361268403171,20,-0.409753664704681,0.25,12,-0.409753664704681,0.25,859,-0.1948709963968771,0.069848661233993,-0.2148826683078039,15,-0.3979445095845841,0.2666666666666666,5,-0.4215628198247779,0.2,0.0236183102401937,7,-0.2822208735354188,0.0,13,-0.4880876625570143,0.3846153846153846,0.2058667890215955,0.004003349860379586,0.0007938861543800569,0.03627209840081806,0.00696015166516831,0.0486944010782155,0.009011306203862007,6,0.0007938861543800569,0.017622532227137253,True,False,True,True,exploratory
ATM,6,0.0384615384615384,0.0902744375719774,-0.6733444111886152,-0.7180506183239993,2,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.013041229561646,0.0056625141562853,20,0.1105055608941168,0.0,12,0.1220934793369343,0.0,859,-0.0156582798970812,0.0058207217694994,0.1377517592340155,15,0.1169229199373451,0.0,5,0.1040882018508885,0.0,0.0128347180864566,7,0.1272640387365235,0.0,13,0.085105348681004,0.0,0.0421586900555195,0.003752372947166095,0.0007366439743265861,0.06532926221390939,0.012020919998464141,0.1053666561169262,0.019217282522351234,6,0.0007366439743265861,0.03440385629552394,True,False,False,True,exploratory
LRPPRC,4,0.0256410256410256,-0.0862910909018894,-0.4044672297382297,0.0186309190240555,0,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,-0.5815495927365807,0.5968289920724802,20,-0.1918430441065703,0.2,12,-0.1847862414258363,0.0833333333333333,859,-0.5853233008441316,0.6041909196740396,0.4005370594182952,15,-0.1930618307265437,0.2,5,-0.0170099779679182,0.2,-0.1760518527586255,7,-0.1342300714951023,0.1428571428571428,13,-0.2882668984688114,0.2307692307692307,0.154036826973709,0.002635443754678265,0.0005439619390524491,0.07436091882303743,0.013993916086389393,0.13951986111299725,0.02450738882148786,6,0.0005439619390524491,0.042593581756273764,True,False,False,False,exploratory
PTPN13,4,0.0256410256410256,-1.5273454320687525,-0.7242728662525536,0.1188067265008719,2,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,0.0274228278765045,0.001132502831257,20,-0.014539356818287,0.0,12,-0.014539356818287,0.0,859,0.0294382966759393,0.0011641443538998,-0.0439776534942263,15,-0.0085241649272008,0.0,5,-0.0624711349444153,0.0,0.0539469700172145,7,-0.0386096001387657,0.0,13,-0.0085241649272008,0.0,-0.0300854352115649,0.0028656240311470435,0.00048387957038316083,0.06582324275138272,0.011317719682381294,0.061633669361373926,0.010419779484540202,6,0.00048387957038316083,0.025423985813534725,True,False,False,True,exploratory
NRIP1,3,0.0192307692307692,-0.2815198469963465,-0.3619911785281288,-0.2507922646593057,0,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,0.123527516930366,0.0,20,0.1780574724431302,0.0,12,0.1648708921023676,0.0,859,0.1224891295187601,0.0,0.0423817625836075,15,0.1709715293664975,0.0,5,0.1947565049749569,0.0,-0.0237849756084593,7,0.1445983686849722,0.0,13,0.1947565049749569,0.0,-0.0501581362899846,0.0027869006787716384,0.00047342661381304666,0.07683155105130995,0.01355546557184448,0.06194907607439889,0.011563716399864896,6,0.00047342661381304666,0.027860022731667152,True,False,False,False,exploratory
CDH8,3,0.0192307692307692,0.3930086314095383,-0.587323750641707,0.99536145938971,2,True,True,1.0,True,1.0,True,1.0,True,1.0,False,883,0.0759207329115189,0.0,20,0.1087609179192249,0.0,12,0.1087609179192249,0.0,859,0.0749739143631194,0.0,0.0337870035561055,15,0.0977232573229539,0.0,5,0.1387065431877516,0.0,-0.0409832858647977,7,0.1119174320428831,0.0,13,0.1063943748836751,0.0,0.0055230571592079,0.003405372645017327,0.00047220221529359325,0.04619172380175363,0.006684830381297086,0.025439705391947957,0.005017607354898928,6,0.00047220221529359325,0.014535240298368087,True,False,False,True,exploratory
