alpha,model,comparison,scope,model_n,r2,delta_r2,bootstrap_lower,bootstrap_upper
10.0,background,background,pan_cancer,883,-0.00916719102082797,0.0,0.0,0.0
10.0,background,background,non_kidney,859,-0.007074581879999098,0.0,0.0,0.0
10.0,background,background,kidney_lineage,24,-0.07862471902523782,0.0,0.0,0.0
10.0,background,background,rcc,20,-0.08262065258954321,0.0,0.0,0.0
10.0,background,background,ccrcc,12,-0.047114933358541,0.0,0.0,0.0
10.0,multiomics,background,pan_cancer,883,-2.709760843396971,-2.700593652376143,-2.9274414572080936,-2.482192700390365
10.0,multiomics,background,non_kidney,859,-2.74199263689637,-2.734918055016371,-2.9646224487521877,-2.5148765630504677
10.0,multiomics,background,kidney_lineage,24,-1.6399286153249562,-1.5613038962997183,-1.9938062265291026,-1.1396279105806508
10.0,multiomics,background,rcc,20,-1.7776511373123087,-1.6950304847227655,-2.2168656677707466,-1.188912848430011
10.0,multiomics,background,ccrcc,12,-1.6968214858492807,-1.6497065524907397,-2.4489864572620346,-1.0242473387860975
10.0,context_interactions,multiomics,pan_cancer,883,-3.5672961450402143,-0.8575353016432432,-2.2540470077919217,0.032921741090766586
10.0,context_interactions,multiomics,non_kidney,859,-3.597084005267404,-0.8550913683710339,-2.3618841986862407,0.054368809743177295
10.0,context_interactions,multiomics,kidney_lineage,24,-2.578582536008621,-0.9386539206836648,-1.6176524254527629,-0.47534168645280644
10.0,context_interactions,multiomics,rcc,20,-2.592612067585713,-0.8149609302734042,-1.5529201417875031,-0.3350958187183337
10.0,context_interactions,multiomics,ccrcc,12,-2.7239280413020492,-1.0271065554527685,-2.3485589613022113,-0.26829969132066983
10.0,targetwise_multiomics,background,pan_cancer,883,-0.005587902315837168,0.0035792887049908018,0.0013992282618114434,0.0056991244812595555
10.0,targetwise_multiomics,background,non_kidney,859,-0.0037907133438785934,0.0032838685361205044,0.0010143245665958213,0.005487729365951181
10.0,targetwise_multiomics,background,kidney_lineage,24,-0.06523989413480469,0.013384824890433134,0.0069076742609847416,0.022301413574252405
10.0,targetwise_multiomics,background,rcc,20,-0.07204445551826022,0.010576197071282989,0.005641449275709093,0.01542918068542887
10.0,targetwise_multiomics,background,ccrcc,12,-0.03559932899053586,0.011515604368005139,0.006423528569974886,0.017819573304147688
10.0,targetwise_context,targetwise_multiomics,pan_cancer,883,-0.06764868236272048,-0.06206078004688331,-0.12001513103147776,-0.020108241128791924
10.0,targetwise_context,targetwise_multiomics,non_kidney,859,-0.053589860872894635,-0.04979914752901604,-0.10633465501411367,-0.00970601343150719
10.0,targetwise_context,targetwise_multiomics,kidney_lineage,24,-0.5342867029496674,-0.4690468088148627,-0.8719271745972024,-0.17995769318346003
10.0,targetwise_context,targetwise_multiomics,rcc,20,-0.41626579520131557,-0.34422133968305535,-0.7449827073888237,-0.1286596652541843
10.0,targetwise_context,targetwise_multiomics,ccrcc,12,-0.2160526886637235,-0.18045335967318765,-0.32177028160632815,-0.08119838541768547
100.0,background,background,pan_cancer,883,0.0013313707290889543,0.0,0.0,0.0
100.0,background,background,non_kidney,859,0.002751095383354496,0.0,0.0,0.0
100.0,background,background,kidney_lineage,24,-0.045791889419313225,0.0,0.0,0.0
100.0,background,background,rcc,20,-0.04972911609167707,0.0,0.0,0.0
100.0,background,background,ccrcc,12,-0.023514599978369466,0.0,0.0,0.0
100.0,multiomics,background,pan_cancer,883,-0.5433785267289117,-0.5447098974580007,-0.5894114833090668,-0.501796411750963
100.0,multiomics,background,non_kidney,859,-0.548741029913459,-0.5514921252968135,-0.600030218224011,-0.5078377184375097
100.0,multiomics,background,kidney_lineage,24,-0.36538722971733995,-0.3195953402980267,-0.46862473623114964,-0.19904514036574514
100.0,multiomics,background,rcc,20,-0.4041949865685266,-0.3544658704768495,-0.5176216167183216,-0.21684884308448285
100.0,multiomics,background,ccrcc,12,-0.43292546119837505,-0.4094108612200056,-0.7053675760678494,-0.1942775558600299
100.0,context_interactions,multiomics,pan_cancer,883,-0.9190743429463366,-0.37569581621742487,-0.9892835147176997,-0.01127729696763249
100.0,context_interactions,multiomics,non_kidney,859,-0.920326569410693,-0.37158553949723405,-0.9994963769518446,-0.0001936397892737792
100.0,context_interactions,multiomics,kidney_lineage,24,-0.8775106543344133,-0.5121234246170734,-0.8331772334443591,-0.27918245694484195
100.0,context_interactions,multiomics,rcc,20,-0.814465070056752,-0.41027008348822536,-0.6941914852456462,-0.23013486694760363
100.0,context_interactions,multiomics,ccrcc,12,-0.9009494280205759,-0.4680239668222008,-0.9386846905120979,-0.20159592530194476
100.0,targetwise_multiomics,background,pan_cancer,883,0.0065072238536453275,0.005175853124556373,0.0035212846100100463,0.006803412741636297
100.0,targetwise_multiomics,background,non_kidney,859,0.0077051919770796395,0.0049540965937251435,0.003268016384781445,0.006578839227844642
100.0,targetwise_multiomics,background,kidney_lineage,24,-0.03325553110061552,0.012536358318697705,0.0070005084482340834,0.01952406205727597
100.0,targetwise_multiomics,background,rcc,20,-0.039404926364986714,0.010324189726690358,0.007047166418463218,0.013763142129296312
100.0,targetwise_multiomics,background,ccrcc,12,-0.012716469201657477,0.01079813077671199,0.0065010285928368905,0.016073594802934892
100.0,targetwise_context,targetwise_multiomics,pan_cancer,883,-0.030136287493330416,-0.03664351134697574,-0.0819923422222474,-0.008564802143559463
100.0,targetwise_context,targetwise_multiomics,non_kidney,859,-0.024526578678587763,-0.0322317706556674,-0.07751898681047037,-0.00421078764436526
100.0,targetwise_context,targetwise_multiomics,kidney_lineage,24,-0.21633279189271892,-0.1830772607921034,-0.35236693722892204,-0.07410750875411566
100.0,targetwise_context,targetwise_multiomics,rcc,20,-0.1598243082602513,-0.12041938189526458,-0.24035055927060922,-0.05132360095562203
100.0,targetwise_context,targetwise_multiomics,ccrcc,12,-0.08101165230609109,-0.06829518310443361,-0.1236893722292604,-0.028268692075247966
1000.0,background,background,pan_cancer,883,0.01810064942175227,0.0,0.0,0.0
1000.0,background,background,non_kidney,859,0.01833134412123527,0.0,0.0,0.0
1000.0,background,background,kidney_lineage,24,0.010443470048325243,0.0,0.0,0.0
1000.0,background,background,rcc,20,0.011809201522711255,0.0,0.0,0.0
1000.0,background,background,ccrcc,12,0.022258457786462515,0.0,0.0,0.0
1000.0,multiomics,background,pan_cancer,883,-0.02283479371031194,-0.04093544313206421,-0.047119946707790246,-0.03438697526588965
1000.0,multiomics,background,non_kidney,859,-0.023450568457868082,-0.04178191257910335,-0.04840914002693932,-0.03537610664314332
1000.0,multiomics,background,kidney_lineage,24,-0.0023961026340308944,-0.012839572682356137,-0.04077319343886861,0.011440801857132926
1000.0,multiomics,background,rcc,20,-0.00988701712024187,-0.021696218642953125,-0.054154688966324284,0.0066941033318700495
1000.0,multiomics,background,ccrcc,12,-0.006764545933186206,-0.02902300371964872,-0.07586405363080095,0.010532713110133745
1000.0,context_interactions,multiomics,pan_cancer,883,-0.13590709978518434,-0.1130723060748724,-0.26275647216712483,-0.01466746906943454
1000.0,context_interactions,multiomics,non_kidney,859,-0.12953749821338922,-0.10608692975552114,-0.2628751789771554,-0.0053797582293365395
