comparison,metric,estimand,n,mean,ci_low,bootstrap_median,ci_high
historical_elastic_net_vs_expression_pcr_ridge,ndcg_at_10,patient_equal,780,-0.01722987535132746,-0.024855764882760492,-0.017181079012049377,-0.009699155088023506
historical_elastic_net_vs_expression_pcr_ridge,ndcg_at_10,lineage_equal,19,-0.01566209328643047,-0.026441164642724647,-0.015785437578576443,-0.0046759792257735095
historical_elastic_net_vs_expression_pcr_ridge,selective_precision_at_10,patient_equal,780,-0.020192307692307693,-0.02980769230769231,-0.020256410256410253,-0.010641025641025639
historical_elastic_net_vs_expression_pcr_ridge,selective_precision_at_10,lineage_equal,19,-0.01839930703128258,-0.03236105762330685,-0.018374830649709722,-0.0041202741673438585
historical_elastic_net_vs_expression_pcr_ridge,top10_overlap,patient_equal,780,-0.008493589743589745,-0.015834134615384615,-0.008461538461538461,-0.0010256410256410265
historical_elastic_net_vs_expression_pcr_ridge,top10_overlap,lineage_equal,19,-0.007923273312566183,-0.019109737783088866,-0.007755661806063749,0.0022119539551277603
historical_elastic_net_vs_expression_pcr_ridge,spearman,patient_equal,780,-0.06168518194780594,-0.0675038910893209,-0.06167623094573692,-0.05586029263696342
historical_elastic_net_vs_expression_pcr_ridge,spearman,lineage_equal,19,-0.06282796066775491,-0.07803287309983258,-0.06309498516968529,-0.04692565310761585
historical_elastic_net_vs_expression_pcr_ridge,regret,patient_equal,780,-0.030911481001446955,-0.04046521034664084,-0.030853038682452025,-0.021429229250267898
historical_elastic_net_vs_expression_pcr_ridge,regret,lineage_equal,19,-0.02834477800950842,-0.04532639156787786,-0.02817394530402182,-0.011877165365846182
refined_elastic_net_vs_expression_pcr_ridge,ndcg_at_10,patient_equal,780,-0.01993194054168492,-0.02763541892291531,-0.019881064905537264,-0.012194167591914436
refined_elastic_net_vs_expression_pcr_ridge,ndcg_at_10,lineage_equal,19,-0.018020083935593855,-0.02923483904168904,-0.018211345763122083,-0.006902066418053171
refined_elastic_net_vs_expression_pcr_ridge,selective_precision_at_10,patient_equal,780,-0.022179487179487176,-0.03173237179487179,-0.02217948717948718,-0.0125
refined_elastic_net_vs_expression_pcr_ridge,selective_precision_at_10,lineage_equal,19,-0.02036641268828882,-0.03550495022769779,-0.02042519634516777,-0.005399001080405854
refined_elastic_net_vs_expression_pcr_ridge,top10_overlap,patient_equal,780,-0.009711538461538462,-0.01717948717948718,-0.009711538461538462,-0.002243589743589743
refined_elastic_net_vs_expression_pcr_ridge,top10_overlap,lineage_equal,19,-0.00893461653840085,-0.01998991299511617,-0.008770607076162404,0.0013483092222094414
refined_elastic_net_vs_expression_pcr_ridge,spearman,patient_equal,780,-0.06262354534842138,-0.06844379149991137,-0.06262199382048356,-0.05685122200405957
refined_elastic_net_vs_expression_pcr_ridge,spearman,lineage_equal,19,-0.06385940051769286,-0.07922295770439797,-0.06404167526481139,-0.04719225918308058
refined_elastic_net_vs_expression_pcr_ridge,regret,patient_equal,780,-0.032568278919924656,-0.04219748677889165,-0.03260863556745597,-0.02307898377358718
refined_elastic_net_vs_expression_pcr_ridge,regret,lineage_equal,19,-0.030582400679822607,-0.04724857548439128,-0.03045673509592744,-0.014495220455617977
refined_elastic_net_vs_historical_elastic_net,ndcg_at_10,patient_equal,780,-0.002702065190357462,-0.00437105665036355,-0.002695550556030094,-0.0010481031064210444
refined_elastic_net_vs_historical_elastic_net,ndcg_at_10,lineage_equal,19,-0.0023579906491633844,-0.0045150930424447296,-0.0023644968022523095,-0.00027102030037013145
refined_elastic_net_vs_historical_elastic_net,selective_precision_at_10,patient_equal,780,-0.001987179487179487,-0.004743589743589743,-0.0019230769230769227,0.000705128205128206
refined_elastic_net_vs_historical_elastic_net,selective_precision_at_10,lineage_equal,19,-0.001967105657006237,-0.00554310770928418,-0.0020061463655222803,0.0018427418965891195
refined_elastic_net_vs_historical_elastic_net,top10_overlap,patient_equal,780,-0.001217948717948718,-0.0031410256410256414,-0.0012179487179487178,0.0007051282051282053
refined_elastic_net_vs_historical_elastic_net,top10_overlap,lineage_equal,19,-0.0010113432258346644,-0.002948210167131792,-0.0009953920348657191,0.000925131051328966
refined_elastic_net_vs_historical_elastic_net,spearman,patient_equal,780,-0.000938363400615435,-0.0012670615923620363,-0.0009384098693251527,-0.0006106671987066988
refined_elastic_net_vs_historical_elastic_net,spearman,lineage_equal,19,-0.0010314398499379534,-0.0013524461052343317,-0.0010364672786610418,-0.0007028294738448586
refined_elastic_net_vs_historical_elastic_net,regret,patient_equal,780,-0.001656797918477705,-0.004460160883376323,-0.0016579380708997302,0.0011389115940235108
refined_elastic_net_vs_historical_elastic_net,regret,lineage_equal,19,-0.0022376226703141795,-0.005319638977051378,-0.0022443789634458743,0.0009631355991266607
