heldout_lineage,old_certificate_fail_n,historical_metric_max_error,prediction_max_abs_change,ndcg_change
Biliary Tract,796,8.326672684688674e-17,0.09261221386235413,-0.001310541711669444
Bladder/Urinary Tract,797,8.326672684688674e-17,0.0796873919358127,0.0007937249266528612
Bone,794,2.220446049250313e-16,0.12388185975565469,-0.003312868274350067
Bowel,794,1.1102230246251565e-16,0.12397094155994859,-0.007401465881436253
Breast,797,8.326672684688674e-17,0.1289218337589806,0.0001451981846906647
CNS/Brain,797,8.326672684688674e-17,0.176784034555891,0.0007794235883531453
Esophagus/Stomach,802,8.326672684688674e-17,0.07435780426087923,0.0020854293475891517
Head and Neck,802,8.326672684688674e-17,0.08165324964808951,-0.0017349474742446302
Kidney,785,8.326672684688674e-17,0.09826639819129451,-0.0008434617874042427
Liver,797,8.326672684688674e-17,0.09918812590779154,-0.0012569628819966705
Lung,818,2.220446049250313e-16,0.12268732356235934,-0.004881886296879467
Lymphoid,772,2.220446049250313e-16,0.2022496937043659,-0.00804577314689875
Myeloid,782,1.1102230246251565e-16,0.30298195037369613,-0.010291111236876427
Ovary/Fallopian Tube,794,1.1102230246251565e-16,0.07049359188346482,0.0016836495872248336
Pancreas,795,1.1102230246251565e-16,0.06158165681657796,-0.011171658137000495
Peripheral Nervous System,793,8.326672684688674e-17,0.08643344566278768,0.007436757509840908
Skin,791,2.220446049250313e-16,0.14134851205210197,0.0020454730587944336
Soft Tissue,800,1.1102230246251565e-16,0.08617314719308289,-0.001153261770118208
Uterus,799,2.220446049250313e-16,0.08511217843855914,-0.008367539938375856
