heldout_lineage,method,ndcg_at_10,selective_precision_at_10,top10_overlap,spearman,regret
Biliary Tract,expression_pcr_ridge,0.5140810146603573,0.48846153846153845,0.22307692307692306,0.30898477332509916,0.5295205596847556
Biliary Tract,historical_elastic_net,0.4728022946339593,0.43846153846153846,0.20384615384615384,0.2354766303068446,0.5882340509831896
Biliary Tract,refined_elastic_net,0.47149175292228984,0.4423076923076923,0.2,0.2334951670718692,0.5928465085632935
Bladder/Urinary Tract,expression_pcr_ridge,0.4434456211539702,0.3482758620689655,0.1793103448275862,0.3026915463811852,0.5083434977582845
Bladder/Urinary Tract,historical_elastic_net,0.44407910526529326,0.3448275862068966,0.16896551724137931,0.21083278615901288,0.5044268903773654
Bladder/Urinary Tract,refined_elastic_net,0.4448728301919461,0.3482758620689655,0.1724137931034483,0.20941299239980213,0.508721048501642
Bone,expression_pcr_ridge,0.40063075681136545,0.2777777777777778,0.15185185185185185,0.36977794458207397,0.583171158217282
Bone,historical_elastic_net,0.4007398125548808,0.27037037037037037,0.15555555555555556,0.27703329015554645,0.6041797472932544
Bone,refined_elastic_net,0.3974269442805307,0.25925925925925924,0.14814814814814814,0.27531188757912894,0.6175525921841343
Bowel,expression_pcr_ridge,0.4827376959678882,0.45799999999999996,0.25,0.25601578197922126,0.6233509687085793
Bowel,historical_elastic_net,0.48321294806035325,0.44799999999999995,0.266,0.20955793064427813,0.622323822146448
Bowel,refined_elastic_net,0.475811482178917,0.442,0.262,0.2079626384077784,0.631046588365038
Breast,expression_pcr_ridge,0.4245588544146468,0.36764705882352944,0.19705882352941176,0.1927915819617186,0.6851584019575082
Breast,historical_elastic_net,0.3843852829861908,0.31470588235294117,0.1647058823529412,0.13987818332004037,0.7603763725881426
Breast,refined_elastic_net,0.38453048117088146,0.30294117647058827,0.16470588235294117,0.13998167021940275,0.7604414176335361
CNS/Brain,expression_pcr_ridge,0.411639007394315,0.32205882352941173,0.17205882352941176,0.3503388097089417,0.5789701495009529
CNS/Brain,historical_elastic_net,0.40512810128922705,0.3088235294117647,0.16911764705882354,0.3084971259014091,0.5917089499991959
CNS/Brain,refined_elastic_net,0.4059075248775802,0.30735294117647055,0.16911764705882354,0.30776477202395186,0.5923714699441973
Esophagus/Stomach,expression_pcr_ridge,0.44917814927170113,0.414,0.21,0.3133504072087912,0.5789303373169592
Esophagus/Stomach,historical_elastic_net,0.4349303194331119,0.39799999999999996,0.21,0.24131578627641304,0.5940463727647934
Esophagus/Stomach,refined_elastic_net,0.43701574878070104,0.392,0.20800000000000002,0.239615956944699,0.5918217402535454
Head and Neck,expression_pcr_ridge,0.45211267295916624,0.3696428571428571,0.17857142857142858,0.3415400160276715,0.5356027411892138
Head and Neck,historical_elastic_net,0.43286781187719153,0.3678571428571429,0.17857142857142858,0.24721273780901343,0.5520684963924948
Head and Neck,refined_elastic_net,0.4311328644029469,0.3678571428571429,0.17857142857142858,0.2469230588779623,0.548523474668123
Kidney,expression_pcr_ridge,0.5654358107519596,0.4913043478260869,0.2826086956521739,0.3435822812858674,0.49839773785096575
Kidney,historical_elastic_net,0.5696846539657142,0.508695652173913,0.29130434782608694,0.276095234864217,0.5238757880292869
Kidney,refined_elastic_net,0.56884119217831,0.508695652173913,0.29130434782608694,0.27416808947999166,0.5235759240419252
Liver,expression_pcr_ridge,0.4908405464905172,0.45454545454545453,0.23181818181818184,0.3059734872068481,0.5870478008761172
Liver,historical_elastic_net,0.469343670269422,0.4318181818181818,0.21363636363636365,0.2835931698140452,0.6153703820941516
Liver,refined_elastic_net,0.4680867073874253,0.43636363636363634,0.21363636363636365,0.2825020339122196,0.6171213611490546
Lung,expression_pcr_ridge,0.3880492145810173,0.302020202020202,0.17373737373737372,0.2751227086016062,0.6620792803436643
Lung,historical_elastic_net,0.38362784654258686,0.3191919191919192,0.17777777777777778,0.19242978570682226,0.6718489183092898
Lung,refined_elastic_net,0.3787459602457074,0.32323232323232326,0.17474747474747476,0.19199624688703887,0.6719929811980917
Lymphoid,expression_pcr_ridge,0.43200655891341133,0.48624999999999996,0.12250000000000001,0.2983088801092775,0.6387909910818801
Lymphoid,historical_elastic_net,0.41103622469108175,0.4325,0.1275,0.32420699041548684,0.6908687060373727
Lymphoid,refined_elastic_net,0.402990451544183,0.4225,0.12625,0.3235552271211612,0.699173973423924
Myeloid,expression_pcr_ridge,0.48814439981793534,0.5133333333333333,0.2,0.34516682649920083,0.5893324202398456
Myeloid,historical_elastic_net,0.44561956643347006,0.4766666666666667,0.18333333333333332,0.31226382701875594,0.6419246568850637
Myeloid,refined_elastic_net,0.43532845519659363,0.4733333333333334,0.18333333333333332,0.31278058526263736,0.644487451663234
Ovary/Fallopian Tube,expression_pcr_ridge,0.4657100411190074,0.40555555555555556,0.24166666666666664,0.3313350270768301,0.590457143142827
Ovary/Fallopian Tube,historical_elastic_net,0.4322109010873653,0.37222222222222223,0.21666666666666667,0.2233106539458043,0.6155392536819293
Ovary/Fallopian Tube,refined_elastic_net,0.43389455067459015,0.38055555555555554,0.2222222222222222,0.22141418198173018,0.6119652935355757
Pancreas,expression_pcr_ridge,0.5355389852127547,0.5057142857142857,0.2628571428571429,0.3448093145553142,0.534266726118985
Pancreas,historical_elastic_net,0.4879064065199493,0.45142857142857146,0.23142857142857143,0.2439719658849669,0.6144532133970988
Pancreas,refined_elastic_net,0.4767347483829488,0.4342857142857143,0.22,0.24215925187078174,0.6245107897639294
Peripheral Nervous System,expression_pcr_ridge,0.3572303925221438,0.2545454545454545,0.13636363636363635,0.2871123001787712,0.6391266114628805
Peripheral Nervous System,historical_elastic_net,0.37688677058537007,0.2681818181818182,0.1590909090909091,0.24576024007858777,0.6236203808238708
Peripheral Nervous System,refined_elastic_net,0.384323528095211,0.2863636363636364,0.16818181818181818,0.24509326711198234,0.609994834789162
Skin,expression_pcr_ridge,0.5949403826008326,0.5209677419354838,0.3032258064516129,0.3281548323809893,0.4954628564552662
Skin,historical_elastic_net,0.5337979871194419,0.43870967741935485,0.22903225806451616,0.21084894676959173,0.6140832889599348
Skin,refined_elastic_net,0.5358434601782364,0.4435483870967742,0.22903225806451613,0.21004385590085242,0.6056092618152341
Soft Tissue,expression_pcr_ridge,0.3880463331021449,0.30606060606060603,0.16363636363636364,0.31134730427414575,0.5979279000001834
Soft Tissue,historical_elastic_net,0.3798693558636272,0.29393939393939394,0.1484848484848485,0.25041723559169693,0.6181730485191916
Soft Tissue,refined_elastic_net,0.378716094093509,0.28484848484848485,0.1484848484848485,0.2491992930303883,0.6220081899371144
Uterus,expression_pcr_ridge,0.42710963815860736,0.32173913043478264,0.2,0.19297570441579942,0.6429862051861391
Uterus,historical_elastic_net,0.46572724428332607,0.3739130434782609,0.23478260869565218,0.1729457544094763,0.5903519299908752
Uterus,refined_elastic_net,0.4573597043449502,0.3652173913043478,0.23043478260869565,0.17267074183980965,0.606224198578164
