comparison,metric,estimand,n,mean,ci_low,bootstrap_median,ci_high
certified_expanded_grid_vs_certified_fixed_alpha,ndcg_at_10,patient_equal,780,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,ndcg_at_10,lineage_equal,19,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,selective_precision_at_10,patient_equal,780,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,selective_precision_at_10,lineage_equal,19,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,top10_overlap,patient_equal,780,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,top10_overlap,lineage_equal,19,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,spearman,patient_equal,780,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,spearman,lineage_equal,19,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,regret,patient_equal,780,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_certified_fixed_alpha,regret,lineage_equal,19,0.0,0.0,0.0,0.0
certified_expanded_grid_vs_expression_pcr_ridge,ndcg_at_10,patient_equal,780,-0.019953902163544448,-0.02765956751727188,-0.019904591774564613,-0.012207176777823072
certified_expanded_grid_vs_expression_pcr_ridge,ndcg_at_10,lineage_equal,19,-0.018031353715232297,-0.02924668915863731,-0.018219621210839296,-0.00690526808016971
certified_expanded_grid_vs_expression_pcr_ridge,selective_precision_at_10,patient_equal,780,-0.022179487179487176,-0.03173237179487179,-0.02217948717948718,-0.0125
certified_expanded_grid_vs_expression_pcr_ridge,selective_precision_at_10,lineage_equal,19,-0.02036641268828882,-0.03550495022769779,-0.02042519634516777,-0.005399001080405854
certified_expanded_grid_vs_expression_pcr_ridge,top10_overlap,patient_equal,780,-0.009711538461538462,-0.01717948717948718,-0.009711538461538462,-0.002243589743589743
certified_expanded_grid_vs_expression_pcr_ridge,top10_overlap,lineage_equal,19,-0.00893461653840085,-0.01998991299511617,-0.008770607076162404,0.0013483092222094414
certified_expanded_grid_vs_expression_pcr_ridge,spearman,patient_equal,780,-0.06262361914765245,-0.06844385092402058,-0.06262210118088067,-0.05685128201646496
certified_expanded_grid_vs_expression_pcr_ridge,spearman,lineage_equal,19,-0.0638595016197681,-0.07922310784664183,-0.06404175309879256,-0.04719236484596845
certified_expanded_grid_vs_expression_pcr_ridge,regret,patient_equal,780,-0.032568278919924656,-0.04219748677889165,-0.03260863556745597,-0.02307898377358718
certified_expanded_grid_vs_expression_pcr_ridge,regret,lineage_equal,19,-0.030582400679822607,-0.04724857548439128,-0.03045673509592744,-0.014495220455617977
certified_fixed_alpha_vs_expression_pcr_ridge,ndcg_at_10,patient_equal,780,-0.019953902163544448,-0.027381302997432293,-0.019990951940726236,-0.012283387067850156
certified_fixed_alpha_vs_expression_pcr_ridge,ndcg_at_10,lineage_equal,19,-0.018031353715232297,-0.029089862396786084,-0.01804644904348781,-0.006672887472737196
certified_fixed_alpha_vs_expression_pcr_ridge,selective_precision_at_10,patient_equal,780,-0.022179487179487176,-0.03185897435897436,-0.022179487179487176,-0.012690705128205264
certified_fixed_alpha_vs_expression_pcr_ridge,selective_precision_at_10,lineage_equal,19,-0.02036641268828882,-0.035311781589597295,-0.02050014318646727,-0.005273274263345988
certified_fixed_alpha_vs_expression_pcr_ridge,top10_overlap,patient_equal,780,-0.009711538461538462,-0.017371794871794872,-0.009711538461538462,-0.0022115384615384623
certified_fixed_alpha_vs_expression_pcr_ridge,top10_overlap,lineage_equal,19,-0.00893461653840085,-0.02003140088474157,-0.008701420595071722,0.0014992556526420473
certified_fixed_alpha_vs_expression_pcr_ridge,spearman,patient_equal,780,-0.06262361914765245,-0.06842206951712064,-0.06258847265335221,-0.05679715707732065
certified_fixed_alpha_vs_expression_pcr_ridge,spearman,lineage_equal,19,-0.0638595016197681,-0.07922267782449299,-0.06407931807635761,-0.04756130336491687
certified_fixed_alpha_vs_expression_pcr_ridge,regret,patient_equal,780,-0.032568278919924656,-0.042216101660372964,-0.03258523662528539,-0.022944819214434264
certified_fixed_alpha_vs_expression_pcr_ridge,regret,lineage_equal,19,-0.030582400679822607,-0.04720188513657808,-0.03059643868198399,-0.014220709834453876
