heldout_lineage,scope,inner_fold,alpha,target_n,maximum_kkt,maximum_relative_bound,maximum_iterations,maximum_working_set_passes,maximum_active_feature_n
Biliary Tract,inner,1,0.1,1204,9.989787698103103e-07,8.617650416591257e-10,1750,6,514
Biliary Tract,inner,1,0.2,1204,8.735156102751551e-07,1.3212001631873592e-10,675,3,196
Biliary Tract,inner,1,0.5,1204,9.284963223277209e-07,3.295604177073313e-11,75,1,36
Biliary Tract,inner,1,1.0,1204,0.0,0.0,0,0,0
Biliary Tract,inner,2,0.1,1204,9.873290581358107e-07,1.00904009683082e-09,1550,6,494
Biliary Tract,inner,2,0.2,1204,9.100282482715771e-07,1.6127624152107403e-10,450,4,155
Biliary Tract,inner,2,0.5,1204,7.48897015401262e-07,6.356383122035289e-12,75,1,36
Biliary Tract,inner,2,1.0,1204,0.0,0.0,0,0,0
Biliary Tract,inner,3,0.1,1204,9.839283835466617e-07,9.334623042529612e-10,1875,5,539
Biliary Tract,inner,3,0.2,1204,9.636978717808553e-07,1.8044822836018842e-10,525,3,168
Biliary Tract,inner,3,0.5,1204,2.202072257317944e-07,1.4715857305838922e-12,75,1,40
Biliary Tract,inner,3,1.0,1204,0.0,0.0,0,0,0
Biliary Tract,inner,4,0.1,1204,9.914998384541462e-07,4.220424019354627e-10,1850,5,540
Biliary Tract,inner,4,0.2,1204,9.996554518054701e-07,2.379539969889343e-10,725,4,191
Biliary Tract,inner,4,0.5,1204,7.047090215261953e-07,8.875098884041585e-12,100,1,39
Biliary Tract,inner,4,1.0,1204,0.0,0.0,0,0,0
Biliary Tract,inner,5,0.1,1204,9.989454480344162e-07,1.1597814737128895e-09,1600,6,541
Biliary Tract,inner,5,0.2,1204,9.231055171921021e-07,1.1263722431001778e-10,575,3,195
Biliary Tract,inner,5,0.5,1204,7.943662453380185e-07,1.4097231448384432e-11,75,1,33
Biliary Tract,inner,5,1.0,1204,0.0,0.0,0,0,0
Biliary Tract,outer,0,0.1,1204,9.916332112044901e-07,6.48624754066381e-10,1700,6,478
Bladder/Urinary Tract,inner,1,0.1,1204,9.796246508222972e-07,6.560274800532451e-10,2150,6,516
Bladder/Urinary Tract,inner,1,0.2,1204,9.379024470401731e-07,2.690658142790712e-10,675,3,193
Bladder/Urinary Tract,inner,1,0.5,1204,4.2929567159455395e-07,4.5012163177510415e-12,125,2,36
Bladder/Urinary Tract,inner,1,1.0,1204,0.0,0.0,0,0,0
