heldout_lineage,selected_alpha,elapsed_seconds
Biliary Tract,0.1,78.66162937899935
Bladder/Urinary Tract,0.1,78.47200869000517
Bone,0.1,78.49745541898301
Bowel,0.1,78.4805408300017
Breast,0.1,78.32360162900295
CNS/Brain,0.1,78.79141475399956
Esophagus/Stomach,0.1,81.14469879100216
Head and Neck,0.1,81.35772706198622
Kidney,0.1,77.36752884401358
Liver,0.1,78.93757907502004
Lung,0.1,84.4352864829998
Lymphoid,0.1,70.12362451301306
Myeloid,0.1,74.38879108199035
Ovary/Fallopian Tube,0.1,79.6328177349933
Pancreas,0.1,79.5466454050038
Peripheral Nervous System,0.1,75.68844606899074
Skin,0.1,78.57250401200145
Soft Tissue,0.1,77.11568745598197
Uterus,0.1,76.48172091200831
