heldout_lineage,method,ndcg_at_10,selective_precision_at_10,top10_overlap,spearman,regret
Biliary Tract,certified_expanded_grid,0.47149175292228984,0.4423076923076923,0.2,0.23349505733036566,0.5928465085632935
Biliary Tract,certified_fixed_alpha,0.47149175292228984,0.4423076923076923,0.2,0.23349505733036566,0.5928465085632935
Biliary Tract,expression_pcr_ridge,0.5140810146603573,0.48846153846153845,0.22307692307692306,0.30898477332509916,0.5295205596847556
Bladder/Urinary Tract,certified_expanded_grid,0.4448728301919461,0.3482758620689655,0.1724137931034483,0.2094131272700249,0.508721048501642
Bladder/Urinary Tract,certified_fixed_alpha,0.4448728301919461,0.3482758620689655,0.1724137931034483,0.2094131272700249,0.508721048501642
Bladder/Urinary Tract,expression_pcr_ridge,0.4434456211539702,0.3482758620689655,0.1793103448275862,0.3026915463811852,0.5083434977582845
Bone,certified_expanded_grid,0.3974269442805307,0.25925925925925924,0.14814814814814814,0.27531134920529005,0.6175525921841343
Bone,certified_fixed_alpha,0.3974269442805307,0.25925925925925924,0.14814814814814814,0.27531134920529005,0.6175525921841343
Bone,expression_pcr_ridge,0.40063075681136545,0.2777777777777778,0.15185185185185185,0.36977794458207397,0.583171158217282
Bowel,certified_expanded_grid,0.475811482178917,0.442,0.262,0.20796257575894445,0.631046588365038
Bowel,certified_fixed_alpha,0.475811482178917,0.442,0.262,0.20796257575894445,0.631046588365038
Bowel,expression_pcr_ridge,0.4827376959678882,0.45799999999999996,0.25,0.25601578197922126,0.6233509687085793
Breast,certified_expanded_grid,0.38453048117088146,0.30294117647058827,0.16470588235294117,0.13998235760883299,0.7604414176335361
Breast,certified_fixed_alpha,0.38453048117088146,0.30294117647058827,0.16470588235294117,0.13998235760883299,0.7604414176335361
Breast,expression_pcr_ridge,0.4245588544146468,0.36764705882352944,0.19705882352941176,0.1927915819617186,0.6851584019575082
CNS/Brain,certified_expanded_grid,0.4059075248775802,0.30735294117647055,0.16911764705882354,0.3077645996950636,0.5923714699441973
CNS/Brain,certified_fixed_alpha,0.4059075248775802,0.30735294117647055,0.16911764705882354,0.3077645996950636,0.5923714699441973
CNS/Brain,expression_pcr_ridge,0.411639007394315,0.32205882352941173,0.17205882352941176,0.3503388097089417,0.5789701495009529
Esophagus/Stomach,certified_expanded_grid,0.43701574878070104,0.392,0.20800000000000002,0.23961618756552774,0.5918217402535454
Esophagus/Stomach,certified_fixed_alpha,0.43701574878070104,0.392,0.20800000000000002,0.23961618756552774,0.5918217402535454
Esophagus/Stomach,expression_pcr_ridge,0.44917814927170113,0.414,0.21,0.3133504072087912,0.5789303373169592
Head and Neck,certified_expanded_grid,0.4311328644029469,0.3678571428571429,0.17857142857142858,0.24692299124948194,0.548523474668123
Head and Neck,certified_fixed_alpha,0.4311328644029469,0.3678571428571429,0.17857142857142858,0.24692299124948194,0.548523474668123
Head and Neck,expression_pcr_ridge,0.45211267295916624,0.3696428571428571,0.17857142857142858,0.3415400160276715,0.5356027411892138
Kidney,certified_expanded_grid,0.56884119217831,0.508695652173913,0.29130434782608694,0.27416869163756735,0.5235759240419252
Kidney,certified_fixed_alpha,0.56884119217831,0.508695652173913,0.29130434782608694,0.27416869163756735,0.5235759240419252
Kidney,expression_pcr_ridge,0.5654358107519596,0.4913043478260869,0.2826086956521739,0.3435822812858674,0.49839773785096575
Liver,certified_expanded_grid,0.4680867073874253,0.43636363636363634,0.21363636363636365,0.28250115883862,0.6171213611490546
Liver,certified_fixed_alpha,0.4680867073874253,0.43636363636363634,0.21363636363636365,0.28250115883862,0.6171213611490546
Liver,expression_pcr_ridge,0.4908405464905172,0.45454545454545453,0.23181818181818184,0.3059734872068481,0.5870478008761172
Lung,certified_expanded_grid,0.3787459602457074,0.32323232323232326,0.17474747474747476,0.19199632786722848,0.6719929811980917
Lung,certified_fixed_alpha,0.3787459602457074,0.32323232323232326,0.17474747474747476,0.19199632786722848,0.6719929811980917
Lung,expression_pcr_ridge,0.3880492145810173,0.302020202020202,0.17373737373737372,0.2751227086016062,0.6620792803436643
Lymphoid,certified_expanded_grid,0.4027763257310526,0.4225,0.12625,0.32355501419468485,0.699173973423924
Lymphoid,certified_fixed_alpha,0.4027763257310526,0.4225,0.12625,0.32355501419468485,0.699173973423924
Lymphoid,expression_pcr_ridge,0.43200655891341133,0.48624999999999996,0.12250000000000001,0.2983088801092775,0.6387909910818801
Myeloid,certified_expanded_grid,0.43532845519659363,0.4733333333333334,0.18333333333333332,0.3127811262343493,0.644487451663234
Myeloid,certified_fixed_alpha,0.43532845519659363,0.4733333333333334,0.18333333333333332,0.3127811262343493,0.644487451663234
Myeloid,expression_pcr_ridge,0.48814439981793534,0.5133333333333333,0.2,0.34516682649920083,0.5893324202398456
Ovary/Fallopian Tube,certified_expanded_grid,0.43389455067459015,0.38055555555555554,0.2222222222222222,0.22141316389384483,0.6119652935355757
Ovary/Fallopian Tube,certified_fixed_alpha,0.43389455067459015,0.38055555555555554,0.2222222222222222,0.22141316389384483,0.6119652935355757
Ovary/Fallopian Tube,expression_pcr_ridge,0.4657100411190074,0.40555555555555556,0.24166666666666664,0.3313350270768301,0.590457143142827
Pancreas,certified_expanded_grid,0.4767347483829488,0.4342857142857143,0.22,0.24215926413727784,0.6245107897639294
Pancreas,certified_fixed_alpha,0.4767347483829488,0.4342857142857143,0.22,0.24215926413727784,0.6245107897639294
Pancreas,expression_pcr_ridge,0.5355389852127547,0.5057142857142857,0.2628571428571429,0.3448093145553142,0.534266726118985
Peripheral Nervous System,certified_expanded_grid,0.384323528095211,0.2863636363636364,0.16818181818181818,0.24509368461170639,0.609994834789162
Peripheral Nervous System,certified_fixed_alpha,0.384323528095211,0.2863636363636364,0.16818181818181818,0.24509368461170639,0.609994834789162
Peripheral Nervous System,expression_pcr_ridge,0.3572303925221438,0.2545454545454545,0.13636363636363635,0.2871123001787712,0.6391266114628805
Skin,certified_expanded_grid,0.5358434601782364,0.4435483870967742,0.22903225806451613,0.2100437486055635,0.6056092618152341
Skin,certified_fixed_alpha,0.5358434601782364,0.4435483870967742,0.22903225806451613,0.2100437486055635,0.6056092618152341
Skin,expression_pcr_ridge,0.5949403826008326,0.5209677419354838,0.3032258064516129,0.3281548323809893,0.4954628564552662
Soft Tissue,certified_expanded_grid,0.378716094093509,0.28484848484848485,0.1484848484848485,0.24919914050576059,0.6220081899371144
Soft Tissue,certified_fixed_alpha,0.378716094093509,0.28484848484848485,0.1484848484848485,0.24919914050576059,0.6220081899371144
Soft Tissue,expression_pcr_ridge,0.3880463331021449,0.30606060606060603,0.16363636363636364,0.31134730427414575,0.5979279000001834
Uterus,certified_expanded_grid,0.4573597043449502,0.3652173913043478,0.23043478260869565,0.17266943077362443,0.606224198578164
Uterus,certified_fixed_alpha,0.4573597043449502,0.3652173913043478,0.23043478260869565,0.17266943077362443,0.606224198578164
Uterus,expression_pcr_ridge,0.42710963815860736,0.32173913043478264,0.2,0.19297570441579942,0.6429862051861391
