heldout_lineage,alpha,inner_lineage_equal_ndcg,selected
Biliary Tract,0.1,0.4311606047290961,True
Biliary Tract,0.2,0.3901622083250412,False
Biliary Tract,0.5,0.27140412084209653,False
Biliary Tract,1.0,0.13674544252565685,False
Bladder/Urinary Tract,0.1,0.4275334152544387,True
Bladder/Urinary Tract,0.2,0.3814646156523961,False
Bladder/Urinary Tract,0.5,0.27041148200602955,False
Bladder/Urinary Tract,1.0,0.1352542137263456,False
Bone,0.1,0.42724069913037105,True
Bone,0.2,0.39166196460751684,False
Bone,0.5,0.2702781549657252,False
Bone,1.0,0.13760651630352225,False
Bowel,0.1,0.43877185231782967,True
Bowel,0.2,0.38581717807946136,False
Bowel,0.5,0.2670898346724697,False
Bowel,1.0,0.1308196804296585,False
Breast,0.1,0.4267618295362279,True
Breast,0.2,0.38905888861597543,False
Breast,0.5,0.26844232470434415,False
Breast,1.0,0.13326183188724258,False
CNS/Brain,0.1,0.4286841788172507,True
CNS/Brain,0.2,0.3835879041834616,False
CNS/Brain,0.5,0.26417510988087295,False
CNS/Brain,1.0,0.1376533850692493,False
Esophagus/Stomach,0.1,0.4306847406358503,True
Esophagus/Stomach,0.2,0.38906517944425095,False
Esophagus/Stomach,0.5,0.2718636745632858,False
Esophagus/Stomach,1.0,0.1329028174550398,False
Head and Neck,0.1,0.4339192445608386,True
Head and Neck,0.2,0.389745685041253,False
Head and Neck,0.5,0.28211235072632956,False
Head and Neck,1.0,0.15400017989274525,False
Kidney,0.1,0.4207761103783653,True
Kidney,0.2,0.37976870510945204,False
Kidney,0.5,0.25528049539373204,False
Kidney,1.0,0.12748609320670734,False
Liver,0.1,0.425754508327893,True
Liver,0.2,0.37761156206736657,False
Liver,0.5,0.2575314250720497,False
Liver,1.0,0.14540202261825508,False
Lung,0.1,0.4311037375123077,True
Lung,0.2,0.3881211758623369,False
Lung,0.5,0.27802359229350543,False
Lung,1.0,0.14072587687356947,False
Lymphoid,0.1,0.4135399068774415,True
Lymphoid,0.2,0.3807920402666294,False
Lymphoid,0.5,0.24922292031107562,False
Lymphoid,1.0,0.14283270596175804,False
Myeloid,0.1,0.4233363075575613,True
Myeloid,0.2,0.3766867324413336,False
Myeloid,0.5,0.27258025769801947,False
Myeloid,1.0,0.14002216322108282,False
Ovary/Fallopian Tube,0.1,0.42479450200853297,True
Ovary/Fallopian Tube,0.2,0.38373058208870714,False
Ovary/Fallopian Tube,0.5,0.26160926318937555,False
Ovary/Fallopian Tube,1.0,0.13039030039888957,False
Pancreas,0.1,0.42884865837212116,True
Pancreas,0.2,0.3832980487547663,False
Pancreas,0.5,0.25709475791441244,False
Pancreas,1.0,0.1410989371143889,False
Peripheral Nervous System,0.1,0.4265098935531729,True
Peripheral Nervous System,0.2,0.37734821384983525,False
Peripheral Nervous System,0.5,0.26329024934072875,False
Peripheral Nervous System,1.0,0.13257737391266716,False
Skin,0.1,0.4266827156727244,True
Skin,0.2,0.3773478974956079,False
Skin,0.5,0.2756316368626432,False
Skin,1.0,0.1504331066146186,False
Soft Tissue,0.1,0.4337524666614616,True
Soft Tissue,0.2,0.3848843093904828,False
Soft Tissue,0.5,0.2757867356347552,False
Soft Tissue,1.0,0.15010747829981216,False
Uterus,0.1,0.43320517692705024,True
Uterus,0.2,0.39163908649603685,False
Uterus,0.5,0.2721377611293486,False
Uterus,1.0,0.14103572953222296,False
