Gene,discovery_rank,train_patient_consensus_top10_frequency,validation_patient_consensus_top10_frequency,depmap_ccrcc_leave1out_worst_mean_residual,depmap_ccrcc_minus_other_kidney_mean,sanger_renal_dependent_n,sanger_renal_observed_n,peer_reviewed_direct_support_n,peer_reviewed_direct_opposition_n,non_peer_reviewed_direct_support_n,clinical_stage_tractability_true_n,drug_and_clinical_candidate_n,drive_ccrcc_n,drive_ccrcc_residual_mean,drive_ccrcc_residual_ci_low,drive_ccrcc_residual_ci_high,drive_ccrcc_minus_other_kidney_mean,drive_ccrcc_minus_other_kidney_ci_low,drive_ccrcc_minus_other_kidney_ci_high,gtex_kidney_max_median_tpm,hpa_renal_cell_type_positive_n,hpa_renal_cell_type_max_ncpm,tcga_train_paired_median,tcga_train_paired_median_ci_low,tcga_train_paired_median_ci_high,tcga_validation_paired_median,validation_rank,common_essential,validation_top100_retained,depmap_kidney_lineage_direction,sanger_all_three_support,orthogonal_rnai_support,rnai_ccrcc_specific_support,direct_peer_reviewed_support,direct_peer_reviewed_opposition,normal_organoid_liability_record_n,normal_organoid_liability,paired_tumor_upregulation,clinical_stage_tractability,patient_derived_functional_truth_available,evidence_class,final_interpretation,required_next_evidence,claim_ceiling
SEPHS2,1.0,0.4166666666666667,0.3396226415094339,-0.4172485372153195,-0.0130420501033464,0.0,3.0,0,0,0,0,0,,,,,,,,99.4074,8,16.1,-0.6055002212524414,-0.7983999252319336,-0.3196992874145508,-0.3231000900268554,2.0,False,True,True,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
GRB2,2.0,0.2564102564102564,0.2264150943396226,-0.4665674801943772,-0.1538789308432376,3.0,3.0,0,0,0,0,1,7.0,0.0057432215594931,-0.0806524783598128,0.0900325398869839,0.0535467374010729,-0.104301073683012,0.2542942568530346,56.2012,8,83.4,0.1156005859375,0.0222997665405273,0.2371997833251953,0.1977996826171875,3.0,False,True,True,True,False,False,False,False,0,False,True,False,False,E3_细胞系跨平台信号,三个Sanger肾癌模型均显示依赖，但RNAi或直接文献未形成独立一致证据。,正交扰动复现并检验ccRCC相对其他Kidney的特异性。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
HNF1B,3.0,0.2564102564102564,0.3773584905660377,-1.1624314648518588,-0.8872472868498529,2.0,3.0,0,0,1,0,0,7.0,-0.6934118791412659,-1.0619828378259222,-0.3441525151462523,-0.3406672168242493,-0.8039472805369157,0.1181206784616299,97.8994,8,254.6,-0.4544992446899414,-0.9001007080078125,-0.0143003463745117,-0.1221499443054199,1.0,False,True,True,False,True,False,False,False,3,True,False,False,False,E2_肾谱系功能复现伴正常肾风险,RNAi绝对依赖区间低于0，但ccRCC相对其他Kidney的区间跨0；正常肾类器官存在直接功能风险。,证明ccRCC亚型选择性，并与正常成人肾细胞进行平行扰动。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
SEPSECS,4.0,0.2051282051282051,0.2075471698113207,-0.1533275528578834,-0.1352078575979579,1.0,3.0,0,0,0,0,0,,,,,,,,8.61267,8,45.2,0.0087003707885742,-0.1534996032714843,0.2397003173828125,0.1127996444702148,4.0,False,True,True,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
CFLAR,5.0,0.1474358974358974,0.1886792452830188,-0.931979882328268,-0.3070625220284319,3.0,3.0,0,0,0,0,0,7.0,-0.029551100731903,-0.2659302660161327,0.1682704365500984,-0.0168521386930544,-0.3419716820345244,0.3087668786252697,26.5052,8,366.6,0.3578996658325195,0.1075000762939453,0.6112995147705078,0.1976995468139648,6.0,False,True,True,True,False,False,False,False,0,False,True,False,False,E3_细胞系跨平台信号,三个Sanger肾癌模型均显示依赖，但RNAi或直接文献未形成独立一致证据。,正交扰动复现并检验ccRCC相对其他Kidney的特异性。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
YRDC,6.0,0.1474358974358974,0.0943396226415094,-0.1619250602263179,-0.2698474318692178,3.0,3.0,0,0,0,0,0,,,,,,,,15.4615,8,3.9,-0.20989990234375,-0.3369998931884765,-0.0678997039794921,0.0269498825073242,11.0,False,True,True,True,False,False,False,False,0,False,False,False,False,E3_细胞系跨平台信号,三个Sanger肾癌模型均显示依赖，但RNAi或直接文献未形成独立一致证据。,正交扰动复现并检验ccRCC相对其他Kidney的特异性。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
PAX8,7.0,0.1346153846153846,0.1886792452830188,-1.0371615911040075,-0.760501183654097,1.0,3.0,2,0,0,0,0,7.0,-0.7883090637527145,-1.1219428010489545,-0.4741194238969279,-0.3712299620392655,-0.7311840383956295,-0.0041470070520486,351.615,8,1496.4,-1.3935003280639648,-1.8964996337890625,-0.9075994491577148,-0.9283504486083984,5.0,False,True,True,False,True,True,True,False,2,True,False,False,False,E1_功能最一致但无治疗窗,CRISPR、RNAi和直接文献方向一致，且RNAi支持相对其他Kidney更强；正常肾类器官存在直接功能风险。,患者来源 ccRCC 与匹配正常肾模型的剂量化扰动实验。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
EEFSEC,8.0,0.1282051282051282,0.0943396226415094,-0.0761924305988505,0.0284049638518781,0.0,3.0,0,0,0,0,0,,,,,,,,20.1967,8,113.6,-0.059000015258789,-0.2976999282836914,0.1082992553710937,0.0911998748779296,9.0,False,True,False,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
SLC33A1,9.0,0.1025641025641025,0.1320754716981132,0.0058554358541328,0.0009411043685042,1.0,3.0,0,0,0,0,0,,,,,,,,4.50547,0,0.0,0.4296998977661133,0.0172996520996093,0.5659008026123047,0.3516993522644043,7.0,False,True,False,False,False,False,False,False,0,False,True,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
CHMP7,10.0,0.1025641025641025,0.0377358490566037,0.0273253157432066,0.1742725882566336,3.0,3.0,0,0,0,0,0,,,,,,,,20.1721,8,8.7,0.1367006301879882,-0.0838003158569336,0.1582002639770507,-0.252500057220459,22.0,False,True,False,True,False,False,False,False,0,False,False,False,False,E3_细胞系跨平台信号,三个Sanger肾癌模型均显示依赖，但RNAi或直接文献未形成独立一致证据。,正交扰动复现并检验ccRCC相对其他Kidney的特异性。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
